Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,action_set,batch_size,chain_length,coupling,dropout,epsilon,epsilon_increment,fc1_dims,fc2_dims,field_strength,gamma,learning_rate,max_t_steps,memory_size,n_actions,number_of_episodes,number_of_features,prioritized_experience_replay,replace_target_iter,reward_function,tolerance,tstep_length,avg_Qvalue,binned_Qvalue,binned_epsilon,binned_final_fid,binned_max_fid,binned_time_final_fid,binned_time_max_fid,epsilon_increment,fc1_dims,learning_rate,max_fid,soft_success_training_rate,true_success_training_rate,reward_function,prioritized,action set,chain_length
2025-06-10 15:30:26,410ms,ad35159a9c144721a668f07a8ad8977e,trial_15,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.005355305020605469,811,120,100,0.95,0.0003397022815467162,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1271.1710189654755,1271.17101897,0,0.00017763,0.00089565,40,36,,,,0.0008956465482286995,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:27:34,281ms,ea7b98d4bb41491585858cb956984398,trial_17,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0031437434944853676,133,120,100,0.95,0.0001467555324943901,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1203.8632152237108,1203.86321522,0,0.00030857,0.00083464,40,30,,,,0.0008346394389023868,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:32,0.6s,80e6e30013fb4285a89a31849bd8d356,trial_16,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,6.383617581863636e-05,666,120,100,0.95,0.0168189341456276,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1162.543675818656,1162.54367582,0,0.00073798,0.00073798,40,38,,,,0.000737983986820062,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:30,487ms,846c962cd7ed4e9089d29d8b1fb3b9e7,trial_47,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.06375023216804471,839,120,100,0.95,0.017102851597238195,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1882.6802127863396,1882.68021279,0,0.00009331,0.00065906,40,23,,,,0.0006590565461907617,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:25,411ms,e9e6f45936e9482ea0eb0e7fc6f80fac,trial_27,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.04207842209869548,387,120,100,0.95,0.005194973998266094,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1209.8366568416986,1209.83665684,0,0.00017343,0.00055087,40,30,,,,0.0005508712928974517,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:13,395ms,7037145f92804685a9c680d105fad329,trial_29,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.006654830624280681,688,120,100,0.95,0.0006501144597857048,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,979.6011282858433,979.60112829,0,0.00055073,0.00055073,40,38,,,,0.0005507309081289986,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:22,0.7s,f6673267f64f42589f2a05f54f3740d9,trial_40,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,1.0122017399292296e-05,511,120,100,0.95,0.006064171793491487,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1317.4367880943762,1266.84211144,0.08813241,0.00000716,0.0004865,40,26,,,,0.281433113543695,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:29:27,457ms,50ec3122b24d4ece8e2605dd798860a0,trial_9,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0002279418950465048,332,120,100,0.95,0.06885124432970978,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,979.0776091289282,979.07760913,0,0.0004657,0.0004657,40,38,,,,0.00046570413272909844,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:47,450ms,850f41f0eefa426ea7f097ea8ab2396c,trial_49,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.03710023711010429,473,120,100,0.95,0.0012619377747261746,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1023.5825341572665,1023.58253416,0,0.00017724,0.00044293,40,34,,,,0.0004429317520179064,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:33,0.5s,75ed7ab413e544d28f492c0fc4d27b37,trial_24,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.0008385077926337623,460,120,100,0.95,0.0015772410491070605,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,963.7254029745343,963.72540297,0,0.00023526,0.00023526,40,38,,,,0.00023526090241632132,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:48,363ms,020ceaea8488471e913a0f46b9100ed6,trial_34,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.023198140535032472,531,120,100,0.95,0.006429545624472579,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1361.792340361286,1361.79234036,0,0.00008067,0.00018706,40,28,,,,0.00018705883442746328,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:30:24,1.1s,b81e9a9e8a344cfab3e5415ef1859f2b,trial_32,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,3.594617848743943e-05,292,120,100,0.95,3.30311503682801e-05,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1407.7911014527347,1876.29636878,0.31298338,0.00015158,0.00015268,40,37,,,,0.36034701662345886,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:28:13,314ms,2036d08b7be74dc4965e0f9196ff4dde,trial_35,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.012977086693455106,364,120,100,0.95,0.003573366704964882,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,843.8949729439747,843.89497294,0,0.00010444,0.00010617,40,37,,,,0.00010616527170129597,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:27:07,24.8s,61a78df2b9994cd59f582894d0e44bb8,trial_5,LOCAL,optuna_log.py,sofi,FINISHED,oaps,32,8,1,0.0,0.99,0.005813738822648244,1005,120,100,0.95,0.0004901718277258967,40,40000,9,50000,16,True,200,site evolution,0.05,0.15,1605.2192857799312,1628.4797925112,0.99,0.0000553808,0.0000626945,40,36.35,,,,0.8829757951120232,0,0,site evolution,prioritized,oaps,8
2025-06-10 15:26:17,4.9min,4d1d758c4f1e4150870e7162ce81ac93,opt_for_n8_oaps_noise_per/,LOCAL,optuna_log.py,sofi,FINISHED,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.014892939580864203,431,0.00741306491008265,0,0,0,,,,
